Age,Gt
18,7464.17577499352
19,8678.04442256434
20,9253
21,22430
22,12950.5358962477
23,11521.6591731223
24,18523.9448766731
25,20985.822027029
26,13973.9512534757
27,16546.2261365535
28,18369.2950903735
29,19174.0078815672
30,20057.4987269924
31,18816.9159138758
32,14057.880674378
33,15596.0747818242
34,16066.9897237181
35,17047.503329781
36,16359.1423376847
37,14618.4660891807
38,15852.5315466183
39,15055.9848485602
40,14926.5384924345
41,13070.5677746483
42,17371.5188448204
43,17509.592410843
44,15763.8885918538
45,16756.2319930991
46,18008.0524461008
47,14008.9556922077
48,15766.6363346184
49,16312.3721901304
50,18553.6800768518
51,16990.4867051863
52,17022.9690113641
53,13804.6194039781
54,16180.3360212198
55,17274.1406610985
56,12768.3028315512
57,15431.7970566244
58,15688.2491467636
59,12055.1966994968
60,9039.67348157575
61,9337.70854591431
62,3750.60691708704
63,12116.6181062425
64,6556.92108823703
65,1260
66,12034.434879496
67,12885.6698700533
68,4308.72387952007
69,8370.5275475234
70,2845.96556549794
71,3937.61921380577
72,3403
73,11290
74,3740
78,4365
79,1434.55637742126
80,4795
